"Age","Attribute0","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Club","Date_of_Birth","Division","Full_Name","Hairstyle","Height_cm","League","Nation","Positions","Preferred_Foot","Rating","Squad_Number","Weight_kg","_corrupt_record","County_league"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kerkyra","21 August 1993","2","Alexandros Kouros","Unknown","184","Super League 2","Greece","Defender Left Centre","Left","80",NULL,"79",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Pontou","7 October 1983","2","Nikos Pourtoulidis","Unknown","168","Super League 2","Greece","Midfielder Centre","Right","78",NULL,"63",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kerkyra","1 November 1994","2","Nikos Kritikos","Unknown","186","Super League 2","Greece","Defensive Midfielder Centre","Right","78",NULL,"83",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","21 June 1986","3","Duško Dukić","Unknown","178","Football League","Serbia","Defender Right","Right","79",NULL,"72",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panegialios","25 July 1997","3","Giannis Grammatikas","Short","175","Football League","Greece","Defender Right Left Centre","Right","65",NULL,"70",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","15 March 1989","3","Konstantinos Iliopoulos","Unknown","184","Football League","Greece","Attacking Midfielder Right Left","Right","74","11","74",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PO Atsalenios","14 August 1990","3","Andreas Berkis","Short","179","Football League","Greece","Defensive Midfielder Centre","Right","61",NULL,"74",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panegialios","21 March 1993","3","Theodoros Kotsokolos","Short","172","Football League","Greece","Defender Right Centre","Right","64",NULL,"65",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","19 July 1991","3","Stefan Vukmirović","Unknown","179","Football League","Serbia","Midfielder Left","Both","73",NULL,"69",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","19 March 1996","3","Pavlos Laskaris","Unknown","187","Football League","Greece","Defensive Midfielder Centre","Right","73",NULL,"80",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","18 July 1995","3","Μιχάλης Ζαχαρόπουλος","Short","178","Football League","Greece","Defensive Midfielder Centre","Right","63",NULL,"72",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","7 September 1993","3","Antonis Ilias Tsiaras","Unknown","179","Football League","Greece","Defensive Midfielder Centre","Right","77",NULL,"73",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","7 June 1987","3","Miloš Jokić","Short","186","Football League","Serbia","Midfielder Left Centre","Left","73","87","83",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","8 August 1986","3","Ljubomir Stevanović","Unknown","172","Football League","Serbia","Midfielder Centre","Left","78",NULL,"68",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","30 July 1991","3","Thomas Tsitas","Unknown","188","Football League","Greece","Forward Centre","Right","79",NULL,"80",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","13 June 1998","3","Αντώνης Φουάσης","Short","173","Football League","Greece","Defender Left","Right","63",NULL,"65",NULL,"GREECE"
16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","20 December 2003","3","Παναγιώτης Οικονομέας","Short","178","Football League","Greece","Defender Right Left Centre","Right","61",NULL,"71",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","24 November 1988","3","Athanasios Dinopapas","Unknown","180","Football League","Greece","Forward Right Left Centre","Both","78",NULL,"78",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kerkyra","2 February 1985","2","Diego Martín Rolle","Unknown","166","Super League 2","Argentina","Attacking Midfielder Right Left Centre","Left","80","10","68",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kerkyra","12 March 1988","2","Emiljano Vila","Unknown","185","Super League 2","Albania","Attacking Midfielder Centre","Right","82",NULL,"78",NULL,"GREECE"
37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Pontou","21 September 1982","2","Eduardo Luiz De Santana","Unknown","179","Super League 2","Brazil","Midfielder Left Centre","Left","76",NULL,"72",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","13 June 1987","2","Vladimir Bajić","Unknown","191","Super League 2","Serbia","Goalkeeper","Right","78",NULL,"84",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Pontou","8 February 1986","2","Leonidas Kyvelidis","Unknown","181","Super League 2","Greece","Attacking Midfielder Left","Both","78",NULL,"81",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kerkyra","21 April 1987","2","Panagiotis Zorbas","Unknown","177","Super League 2","Greece","Attacking Midfielder Right Left Centre","Both","78",NULL,"70",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","6 October 1986","2","Chahir Belghazouani","Unknown","180","Super League 2","Morocco","Attacking Midfielder Right Left Centre","Right","80",NULL,"65",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","22 June 1988","2","Marko Stanojević","Unknown","180","Super League 2","Serbia","Defensive Midfielder Centre","Right","80",NULL,"75",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","15 December 1985","2","Suleiman Akeem Omolade","Unknown","182","Super League 2","Nigeria","Defender Centre","Right","80",NULL,"79",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kerkyra","8 April 1986","2","Spiridon Spinoulas","Unknown","181","Super League 2","Greece","Defender Right","Right","78",NULL,"75",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","10 January 2000","2","Fotis Ioannidis","Unknown","177","Super League 2","Greece","Attacking Midfielder Right Left","Right","70",NULL,"70",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kerkyra","21 November 1998","2","Queven Da Silva Inácio","Unknown","176","Super League 2","Brazil","Defensive Midfielder Centre","Right","70",NULL,"73",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","5 November 1997","2","Symeon Synodinos","Unknown","201","Super League 2","Greece","Goalkeeper","Right","67",NULL,"90",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kerkyra","23 February 1996","2","Efstathios Vasiloudis","Short","177","Super League 2","Greece","Midfielder Centre","Right","73","20","70",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","4 May 1992","2","Jovan Krneta","Unknown","187","Super League 2","Serbia","Defender Right Centre","Right","78",NULL,"79",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","12 August 1995","3","Manolis Fazos","Cropped","187","Football League","Greece","Defender Centre","Right","73","44","78",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","9 May 1992","3","Markos Dounis","Unknown","174","Football League","Greece","Attacking Midfielder Right Left Centre","Left","80",NULL,"68",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","14 February 1994","3","Dimitrios Vosnakidis","Unknown","187","Football League","Greece","Defender Centre","Right","76",NULL,"79",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","4 April 1990","3","Pavlos Mitropoulos","Unknown","182","Football League","Greece","Defensive Midfielder Centre","Right","80",NULL,"75",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","16 September 1989","3","Nikolaos Boutzikos","Unknown","174","Football League","Greece","Defender Left","Left","73",NULL,"71",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","22 January 1996","3","Stylianos Pozoglou","Short","173","Football League","Greece","Attacking Midfielder Right Left","Left","76","11","66",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","18 September 1984","3","Stathis Rokas","Unknown","185","Football League","Greece","Defender Left","Left","73",NULL,"76",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","9 August 1988","3","Vasilis Koutsianikoulis","Long","168","Football League","Greece","Attacking Midfielder Right Left","Left","76","88","60",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","5 September 1995","3","Panagiotis Konstantinopoulos","Unknown","178","Football League","Greece","Midfielder Centre","Right","73",NULL,"74",NULL,"GREECE"
37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","22 April 1983","3","Vangelis Mantzios","Unknown","191","Football League","Greece","Forward Centre","Right","73",NULL,"81",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","2 June 1987","3","Ibán Iyanga Travieso","Unknown","177","Football League","Equatorial Guinea","Attacking Midfielder Right Left Centre","Right","78",NULL,"74",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","7 December 1991","3","Nikos Liolios","Unknown","172","Football League","Greece","Defender Left","Left","73",NULL,"69",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiakos Volou","28 August 1987","3","Fotis Karagiolidis","Unknown","190","Football League","Greece","Goalkeeper","Right","76",NULL,"80",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","15 April 1984","3","Christos Mingas","Unknown","172","Football League","Greece","Attacking Midfielder Right Left","Right","73",NULL,"65",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","20 February 1988","3","Ilias Vouras","Unknown","183","Football League","Greece","Goalkeeper","Right","76",NULL,"76",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","5 November 1999","2","Panagiotis Liagas","Short","180","Super League 2","Greece","Defender Centre","Right","73","44","75",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","23 March 1996","2","Petros Orfanidis","Short","179","Super League 2","Greece","Attacking Midfielder Right Left Centre","Right","75","20","63",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","17 September 1999","2","Georgios Nikas","Unknown","178","Super League 2","Greece","Midfielder Centre","Right","73",NULL,"74",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","14 January 2000","2","Panagiotis-Marios Vichos","Short","180","Super League 2","Greece","Defensive Midfielder Centre","Right","65","26","75",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","16 February 1992","2","Antonis Kokkalas","Unknown","184","Super League 2","Greece","Goalkeeper","Right","76",NULL,"77",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","10 January 1996","2","Zisis Karachalios","Unknown","178","Super League 2","Greece","Defensive Midfielder Centre","Right","77",NULL,"74",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","6 May 1995","2","Anastasios Daskalakis","Unknown","190","Super League 2","Greece","Goalkeeper","Right","73",NULL,"77",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","16 August 1990","2","Dimitris Machairas","Short","181","Super League 2","Greece","Defensive Midfielder Centre","Right","73","66","74",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","12 December 1985","2","Giannis Zaradoukas","Unknown","171","Super League 2","Greece","Defender Left","Left","78",NULL,"66",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","6 September 1987","2","Thanasis Panteliadis","Short","179","Super League 2","Greece","Defender Left","Left","77","14","70",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","29 May 1990","2","Leonidas Argyropoulos","Short","178","Super League 2","Greece","Defender Right","Right","76","77","68",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","2 February 1993","2","Devis Rogers Epassy Mboka","Unknown","187","Super League 2","France","Goalkeeper","Right","80",NULL,"82",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","16 July 1986","2","Savvas Tsabouris","Unknown","180","Super League 2","Greece","Defender Right","Right","80",NULL,"74",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","24 June 1997","2","Efstathios Chatzilabros","Unknown","178","Super League 2","Greece","Defensive Midfielder Centre","Right","70",NULL,"74",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","28 February 1996","2","Jean-Marie Ulrich N'nomo N'gong","Unknown","173","Super League 2","France","Attacking Midfielder Right Left","Right","76",NULL,"62",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","20 August 1993","3","Ivan Perić","Unknown","180","Football League","Croatia","Defender Right","Right","73",NULL,"72",NULL,"GREECE"
30,"Aerial Ability","Strength","Corners","Pace","Positioning","Determination","Movement","Work Rate","Flair","Stamina","PAE Kalamata","17 August 1989","3","Emmanouil Stefanakos","Unknown","200","Football League","Greece","Goalkeeper","Right","73",NULL,"94",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","18 January 1987","3","Grigoris Makos","Unknown","183","Football League","Greece","Defender Centre","Right","74",NULL,"74",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","9 January 1993","3","Christos Intzidis","Unknown","189","Football League","Greece","Defender Left Centre","Left","80",NULL,"81",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","15 April 1986","3","Marios Bitsanis","Unknown","N/A","Football League","Greece","Midfielder Right Left Centre","Right","72",NULL,"N/A",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","27 July 1990","3","Georgios Bountopoulos","Unknown","175","Football League","Greece","Defender Centre","Right","73",NULL,"69",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","4 January 1990","3","Mattheos Maroukakis","Unknown","185","Football League","Greece","Forward Centre","Right","73",NULL,"84",NULL,"GREECE"
43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","7 October 1976","3","Dimitris Rizos","Unknown","190","Football League","Greece","Goalkeeper","Right","72",NULL,"83",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","28 May 1985","3","Kostas Mendrinos","Unknown","177","Football League","Greece","Midfielder Centre","Both","73",NULL,"74",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","17 July 1999","3","Paris Babis","Short","172","Football League","Greece","Midfielder Centre","Right","70",NULL,"70",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","21 September 1996","3","Dimitris Kasotakis","Unknown","188","Football League","Greece","Goalkeeper","Right","70",NULL,"75",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","9 February 1990","3","Eudes Cratia Dagoulou Koziade","Unknown","178","Football League","Central African Republic","Attacking Midfielder Right Left Centre","Right","73",NULL,"73",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAE Kalamata","7 May 1989","3","Amer Osmanagić","Unknown","178","Football League","Bosnia & Herzegovina","Midfielder Centre","Left","74",NULL,"70",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","20 January 1986","3","Miroslav Pejić","Unknown","184","Football League","Bosnia & Herzegovina","Midfielder Left","Left","73",NULL,"74",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panegialios","6 February 1995","3","Konstantinos Vlachos","Unknown","177","Football League","Greece","Defender Centre","Right","74",NULL,"70",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","25 May 1984","2","Sokratis Gerasimos Fytanidis","Unknown","186","Super League 2","Greece","Defender Right Centre","Right","82",NULL,"79",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","26 February 1997","2","Leonardo Senka","Unknown","178","Super League 2","Greece","Midfielder Centre","Right","70",NULL,"74",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","3 August 1992","2","Chrisovalantis Kozoronis","Unknown","177","Super League 2","Greece","Defensive Midfielder Centre","Right","80",NULL,"75",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","3 February 1989","2","David Henri Joel Manga Lembe","Unknown","178","Super League 2","Central African Republic","Attacking Midfielder Left Centre","Left","77",NULL,"70",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","1 November 1995","2","Moise Wilfrid Maoussé Adilehou","Unknown","190","Super League 2","Benin","Defender Right Centre","Right","76",NULL,"78",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","9 January 1993","2","Souleymane Sawadogo","Unknown","174","Super League 2","Burkina Faso","Attacking Midfielder Right","Right","78",NULL,"66",NULL,"GREECE"
33,"Positioning","Work Rate","Strength","Pace","Movement","Creativity","Determination","Corners","Flair","Stamina","Levadiakos","28 November 1986","2","Brou Benjamin Angoua","Cropped","183","Super League 2","Ivory Coast","Defender Right Centre","Right","82",NULL,"71",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","31 December 1986","2","Emmanuel Kouamantien Koné","Unknown","176","Super League 2","Ivory Coast","Defensive Midfielder Centre","Right","82",NULL,"65",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","19 October 1995","2","Marius Topi","Unknown","180","Super League 2","Albania","Defender Right Left","Right","70",NULL,"70",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","23 November 1990","2","Jeremias Jorge Sitoe","Unknown","182","Super League 2","Mozambique","Forward Centre","Right","76",NULL,"75",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","22 April 1992","2","João Francisco Favaro Amaral","Unknown","187","Super League 2","Brazil","Defender Centre","Right","78",NULL,"73",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","6 August 1990","2","Petar Orlandić","Unknown","190","Super League 2","Montenegro","Forward Centre","Right","80",NULL,"89",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","9 March 1986","2","Leonardo José Aparecido Moura","Unknown","188","Super League 2","Brazil","Defender Centre","Left","80",NULL,"72",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","1 February 1997","2","Panagiotis Moraitis","Shaved","175","Super League 2","Greece","Forward Centre","Right","76",NULL,"77",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","14 July 1994","2","Thanassis Papatolios","Unknown","178","Super League 2","Greece","Midfielder Centre","Right","76",NULL,"74",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","30 September 1991","2","Christos Eleftheriadis","Shaved","178","Super League 2","Greece","Attacking Midfielder Right Left Centre","Right","76",NULL,"74",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","2 July 1992","2","Gabriel Alejandro Sanabria","Unknown","178","Super League 2","Argentina","Midfielder Left Centre","Right","78",NULL,"74",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","1 September 1995","2","Ilias Polimos","Unknown","175","Super League 2","Greece","Defender Right","Right","76",NULL,"70",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","3 October 1996","2","Dimitrios Mavrias","Unknown","176","Super League 2","Greece","Attacking Midfielder Right Left Centre","Right","75",NULL,"70",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Levadiakos","22 February 1988","2","Giorgi Rekhviashvili","Unknown","180","Super League 2","Georgia","Defender Left Centre","Left","78",NULL,"67",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","2 February 1996","2","Timotheos Tselepidis","Unknown","184","Super League 2","Greece","Defender Centre","Right","75",NULL,"77",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","8 July 1991","2","Panos Linardos","Unknown","176","Super League 2","Greece","Attacking Midfielder Centre","Right","76",NULL,"71",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","3 March 1987","2","Lefteris Intzoglou","Short","177","Super League 2","Greece","Defensive Midfielder Centre","Right","75","8","75",NULL,"GREECE"
32,"Creativity","Aggression","Movement","Pace","Flair","Passing","Composure","Dribbling","Long Passing","Finishing","Panachaiki GE","19 March 1988","2","José Arnulfo Montiel Núñez","Unknown","173","Super League 2","Paraguay","Midfielder Centre","Right","81","7","71",NULL,"GREECE"
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","21 August 1980","2","Stavros Vangelopoulos","Unknown","N/A","Super League 2","Greece","Defender Centre","Right","79",NULL,"N/A",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","25 January 1989","2","Dimitris Kotsonis","Unknown","189","Super League 2","Greece","Defender Right Centre","Right","78",NULL,"73",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","13 October 1993","2","Konstantinos Rougalas","Unknown","188","Super League 2","Greece","Defender Centre","Right","78",NULL,"74",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","24 November 1992","2","Savvas Siatravanis","Unknown","172","Super League 2","Greece","Attacking Midfielder Right Left Centre","Right","77",NULL,"67",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","13 August 1998","2","Georgios Moustakopoulos","Short","175","Super League 2","Greece","Defensive Midfielder Centre","Right","73",NULL,"70",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panachaiki GE","20 October 1992","2","Giannis Koreta","Unknown","175","Super League 2","Greece","Forward Centre","Right","76",NULL,"70",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panegialios","7 June 1988","3","Giannis Goumas","Unknown","185","Football League","Greece","Defender Centre","Right","77",NULL,"75",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","3 January 1985","3","Nikos Chatzopoulos","Unknown","184","Football League","Greece","Defender Centre","Right","70",NULL,"85",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panegialios","29 March 1997","3","Panagiotis Dounis","Unknown","186","Football League","Greece","Goalkeeper","Right","73",NULL,"75",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","18 November 1997","3","Jourdain Assen","Unknown","185","Football League","France","Defender Centre","Right","70",NULL,"76",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panargiakos FC","2 December 1997","3","Alen Šarić-Hodžić","Short","185","Football League","Croatia","Goalkeeper","Right","65",NULL,"75",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Zakynthos","20 April 1999","3","Christos Petalotis","Unknown","185","Football League","Greece","Defender Centre","Right","62",NULL,"80",NULL,"GREECE"
